Id,NAME,ADDRESS,CITY,STATE,ZIP,PHONE,UTILIZATION
f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,01842,9786834000,1
e002090d-4e92-300e-b41e-7d1f21dee4c6,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,6176652300,3
49318f80-bd8b-3fc7-a096-ac43088b0c12,COOLEY DICKINSON HOSPITAL INC THE,30 LOCUST STREET,NORTHAMPTON,MA,01060,4135822000,1
4bdaa4c2-c664-3089-aee2-7137abbad27f,HARRINGTON MEMORIAL HOSPITAL-1,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,5087659771,1
37b4d73f-652d-3033-a16e-d97b9e8b4cda,ANNA JAQUES HOSPITAL,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,9784631000,1
5844ad77-f653-3c2b-b7dd-e97576ab3b03,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,40 WRIGHT STREET,PALMER,MA,01069,4132837651,3
08bcda9c-f8c8-3244-82d4-fc306a7a55d3,BOSTON MEDICAL CENTER CORPORATION-,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,02118,6176388000,1
4861d01f-019c-3dac-a153-8334e50919f9,NORTH SHORE MEDICAL CENTER -,81 HIGHLAND AVENUE,SALEM,MA,01970,9787411215,3
4f3a530e-a2f7-3de0-9a09-c0a70a9ab894,BERKSHIRE MEDICAL CENTER INC - 1,725 NORTH STREET,PITTSFIELD,MA,01201,4134472000,1
b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,275 SANDWICH STREET,PLYMOUTH,MA,02360,5087462000,1
b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL,295 VARNUM AVENUE,LOWELL,MA,01854,9789376000,1
d692e283-0833-3201-8e55-4f868a9c0736,HALLMARK HEALTH SYSTEM,585 LEBANON STREET,MELROSE,MA,02176,7819793000,3
cb6a50e0-af76-3758-99ad-3200ede03fff,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,02215,6176677000,1
e44f438a-601b-30fb-85eb-bfaf8ddcb5ad,HEYWOOD HOSPITAL -,242 GREEN STREET,GARDNER,MA,01440,9786323420,1
3d10019f-c88e-3de5-9916-6107b9c0263d,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,02462,6172436000,2
f4e7709c-02f6-37ca-aeea-8247d74e88e7,WINCHESTER HOSPITAL,41 HIGHLAND AVENUE,WINCHESTER,MA,01890,7817299000,3
27379046-608b-32f0-9df7-8c833cf5d11d,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,02115,6177325500,1
465de31f-3098-365c-af70-48a071e1f5aa,METROWEST MEDICAL CENTER,115 LINCOLN STREET,FRAMINGHAM,MA,01701,5083831000,2
1eaf97fa-9de6-38de-a9c4-6efe5dc574be,ST VINCENT HOSPITAL,123 SUMMER STREET,WORCESTER,MA,01608,5083635000,1
56e0b3b3-4fac-3776-8fc9-7b465eb2fc17,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,01230,4135280790,1
161a799c-4894-36f6-8ca7-2a71c8107f79,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,01331,9782493511,1
05f449e8-89fc-3204-ac89-2416cc734431,PCP61,124 HARVARD ST,BROOKLINE,MA,02446-6499,617-285-3777,74
74e00d14-2bbf-3cf3-ae7a-71077abf5f3c,PCP148,175 ELM ST,SALISBURY,MA,01952-1828,978-828-2053,18
c72c73fd-0c2a-3579-b732-130984e4883c,PCP376,38,NORTHBOROUGH,MA,01532-2159,508-393-1900,62
b226e653-050e-3ca6-8917-532c52d53ee2,PCP659,328 BROADWAY,CAMBRIDGE,MA,02139-1840,617-547-7537,58
5e956b7f-ea9a-324d-a15d-b23794044d94,PCP749,200 JEFFERSON RD,WILMINGTON,MA,01887-1999,978-658-9512,104
4f963230-cf6c-30d4-9848-03c2997a2c16,PCP785,200 CORDWAINER DR,NORWELL,MA,02061-1671,781-826-0465,44
7ae92f6b-21d5-3e24-8265-d69bd2b9b4ca,PCP856,43 PENNYWISE PATH,EDGARTOWN,MA,02539-7031,508-627-7984,68
2fc2b347-cb6b-3e5e-9755-c8d08692e526,PCP1309,533 MAIN ST,MELROSE,MA,02176-3858,781-526-0992,64
dd1f04b3-54cd-3ff0-96e3-a9aec2078301,PCP1444,5 E MAIN ST,MERRIMAC,MA,01860-2005,978-346-4450,84
f6b3bda6-02ee-37cc-8c1f-8fa554e5577a,PCP1501,361 MASSACHUSETTS AVE,ARLINGTON,MA,02474-6719,781-363-1804,18
230b3872-a16b-3c49-b4cb-288c356ed3d4,PCP1901,450 W RIVER ST,ORANGE,MA,01364-1440,978-544-1503,64
340ec5ba-d3f6-32ef-bc8b-d132c2b29276,PCP1921,80 WASHINGTON ST,NORWELL,MA,02061-1741,781-871-2212,80
0b829ba7-406d-3339-b330-1e995b1d72a0,PCP2044,150 MARKET ST,LYNN,MA,01901-1529,781-592-6100,58
ad44968b-257d-36af-8f3c-a682d2a4b30b,PCP2722,175 DERBY ST,HINGHAM,MA,02043-4021,781-837-2420,82
befd832a-ba6c-3404-b7d6-a01ee45f6fe1,ATLANTIC HEARING CARE  INC,990 PARADISE RD,SWAMPSCOTT,MA,01907-1395,781-581-1500,88
9ec35f20-8d1d-34d6-8663-2ef4d94521da,PCP3000,8 GOFFE ST,HADLEY,MA,01035-9559,413-587-3111,108
18493754-0bc4-3653-89ba-fced6e9a2a79,PCP3280,18 MAIN ST,TOWNSEND,MA,01469-1300,978-597-5227,120
7e0fcfff-e432-3e12-8c28-1b798687cc6b,PCP3481,832 MAIN ST,OSTERVILLE,MA,02655-2048,508-420-4480,58
0de9633c-54dd-39cb-947c-8ab5ecdf93a2,PCP3874,2 SHAKER RD,SHIRLEY,MA,01464-2561,978-425-6666,134
1b16712e-c42b-38cc-8f9c-06c60aee8f4a,PCP3958,26 WAMPUM DR,BREWER,MA,02631-1311,508-896-4499,68
27ea3751-40d6-3fcc-88ad-4b7d0c710a7b,PCP4453,55 WAREHAM ST,CARVER,MA,02330-1716,508-280-4825,112
ad3a23c5-ee9b-361d-96ee-244364c9b63a,PCP4460,7 KIMBALL LN E,LYNNFIELD,MA,01940-2617,978-290-7090,74
bffef3f6-1fc7-3881-be74-0678fbe77b5b,PCP4576,30 COURT ST,WESTFIELD,MA,01085-3587,413-562-8045,110
6ab2e1c9-e185-3282-a4e8-d200a6f2b36c,PCP4621,282 MAIN ST,GROVELAND,MA,01834-1229,978-758-2087,50
2ebd3876-5d50-333e-83b3-a33959b8894d,PCP4695,591 N AVE,WAKEFIELD,MA,01880-1647,617-966-6669,56
04689c7d-e935-3248-9956-b21e6aa1f2ea,PCP4983,385 WASHINGTON ST,QUINCY,MA,02169-5630,617-479-1434,40
33eb7ae6-fecd-33ee-ab02-ec322aa2726e,PCP5205,63 NATHAN RD,NEWTON CENTER,MA,02459-1135,617-965-4743,68
0d768c74-92f5-367b-bd5c-76d3143e82b7,PCP5481,316 MAIN ST,OXFORD,MA,01540-1728,508-987-3771,72
ddd639be-74fd-3f52-8f40-04e2a4457ca3,PCP6114,440 HUMPHREY ST,SWAMPSCOTT,MA,01907-2544,781-598-6680,96
44c0e821-1885-3533-a7bd-55f275a23979,PCP6123,1501 BEACON ST,BROOKLINE,MA,02446-4631,617-731-4884,126
88d1ec67-f7f3-3795-895f-53814631398b,PCP6620,50 JEFFERSON ST,WINTHROP,MA,02152-2649,617-846-1734,124
973e7384-d05b-32ad-a8cc-c39191ee9150,PCP7483,152 N ST,PITTSFILED,MA,01201,413-443-8480,62
7a78e136-f3f9-336c-a1d3-61123212530b,PCP7566,131 W MAIN ST,ORANGE,MA,01364-1160,413-325-1061,70
9b49afd9-7855-3377-9dc9-28b5d1f4ca0f,PCP7628,25 MAIN ST,WAYLAND,MA,01778-5036,508-655-9127,62
a2013427-b43d-37b7-89ff-31c2dd48fdf5,PCP7900,5 ELM ST,DANVERS,MA,01923-2859,978-697-6025,76
42151624-e863-3706-8442-472fafbf2226,PCP8034,8 JACKSON RD,MARBLEHEAD,MA,01945-2831,781-990-1035,74
755debf5-7999-31ed-b86b-b42c5d3c613a,PCP8051,84 HIGH ST,MEDFORD,MA,02155-3819,857-756-3694,88
6e21d2e1-b52e-38fa-8254-8a797651c2d0,PCP8941,130 COLLEGE ST,SOUTH HADLEY,MA,01075-1537,413-519-3439,42
32836213-4ac7-3021-aad8-6383f3ced351,PCP9022,1 HOLLYWOOD DR,GRAFTON,MA,01536-1614,508-839-3616,110
d6695482-6857-3a6a-9264-97a8a0147afd,PCP9682,70 HIGH ST,ROCKPORT,MA,01966-2183,978-546-6102,140
650a367a-d609-342d-a540-a99645f509b4,PCP9751,36 N BEDFORD ST,EAST BRIDGEWATER,MA,02333-1186,508-735-9406,54
fafcf3db-7df5-3b11-8653-9032850edd62,PCP10220,680 ASHBURNHAM HILL RD,FITCHBURG,MA,01420-1866,978-423-8907,34
65583707-3e0a-35e3-8c0a-37df9efe0b23,PCP10332,19 ANNASNAPPITT DR,PLYMPTON,MA,02367-1718,781-585-8492,60
df98ec89-56ee-380f-9f1d-671ef1039720,THE EYE CARE CENTER  INC.,10 TECHNOLOGY DR,HUDSON,MA,01749-2791,978-568-8228,60
7de1976a-eff4-3ca6-ac09-274462ae76ef,PCP11412,888 MAIN ST,WINCHESTER,MA,01890-1913,781-729-2660,62
aec53c3f-8025-3167-a079-8c82c2b6255d,PCP11526,440 HUMPHREY ST,SWAMPSCOTT,MA,01907-2574,781-581-0326,194
4d4f0156-9110-3edd-aa94-53f4d58fce4a,PCP11928,55 PUTNEY RD,LEVERETT,MA,01054-9770,413-348-6257,270
3dc9bb2d-5d66-3e61-bf9a-e234c6433577,PCP12399,27 COLLEGE ST,SOUTH HADLEY,MA,01075-1155,413-446-0498,74
b19ac225-3360-3e4c-bba1-05d08fb2df78,PCP12599,211 ESSEX ST,SWAMPSCOTT,MA,01907-1150,781-598-3100,64
2e5db71a-a3b2-32ea-9c0f-2b698f1d756a,PCP12679,435 NEWBURY ST,DANVERS,MA,01923-1065,978-777-7188,72
3b1a947e-27b4-34ed-a565-405720467b8d,PCP13526,115 MILL ST,BELMONT,MA,02478-1041,617-855-2514,132
